area_type,route_type,hour,day_of_week,weather,rainfall_mm,traffic_index,passenger_load_pct,scheduled_headway_min,stop_count,distance_km,road_condition,previous_delay_min,special_event,delay_minutes,delay_category
Rural,Express Bus,15,6,Cloudy,0.58,93.74,48.47,9.64,17,19.4,Poor,4.53,1,16.51,Major Delay
Urban,Local Bus,19,3,Clear,2.72,39.32,43.23,21.09,28,13.21,Average,4.29,0,14.52,Moderate Delay
Urban,Local Bus,14,3,Clear,1.26,42.88,40.47,21.0,14,12.43,Average,9.17,1,16.69,Major Delay
Rural,Local Bus,12,6,Clear,6.07,40.17,50.34,7.3,29,17.19,Good,0.0,0,17.86,Major Delay
Urban,Feeder Bus,22,0,Cloudy,2.05,33.94,19.05,13.05,14,5.12,Good,2.18,1,11.71,Moderate Delay
Urban,Feeder Bus,7,2,Clear,0.17,26.82,50.65,14.79,28,11.2,Good,0.0,0,7.38,Moderate Delay
Rural,Local Bus,13,0,Clear,5.13,59.66,58.7,9.65,25,9.85,Average,0.82,0,16.47,Major Delay
Urban,Local Bus,7,2,Rain,1.91,93.11,37.14,21.85,6,8.85,Good,0.0,0,11.14,Moderate Delay
Rural,Local Bus,16,1,Clear,12.76,83.65,48.37,18.57,6,8.15,Poor,1.61,0,16.82,Major Delay
Urban,Local Bus,21,3,Cloudy,0.75,66.15,58.39,16.17,24,11.79,Poor,5.35,0,17.26,Major Delay
Urban,Express Bus,22,4,Clear,1.38,0.0,60.4,14.41,18,14.59,Good,0.0,1,11.99,Moderate Delay
Urban,Express Bus,9,1,Clear,2.57,5.12,25.31,4.62,31,18.44,Average,1.87,0,13.95,Moderate Delay
Urban,Local Bus,18,0,Cloudy,5.42,72.48,72.01,22.14,28,9.58,Good,3.05,0,17.69,Major Delay
Urban,Express Bus,20,1,Cloudy,9.49,85.25,72.49,17.48,33,9.16,Good,2.12,0,12.3,Moderate Delay
Urban,Feeder Bus,20,5,Heavy Rain,2.41,60.74,43.15,16.46,10,2.0,Good,0.0,0,15.68,Major Delay
Rural,Local Bus,14,4,Clear,4.38,40.97,91.56,9.57,28,18.32,Average,8.28,0,19.09,Major Delay
Urban,Local Bus,8,6,Clear,0.32,79.1,67.12,10.09,18,4.21,Poor,8.21,0,21.44,Major Delay
Urban,Local Bus,13,6,Clear,1.4,65.33,64.23,16.97,14,13.4,Good,9.22,1,23.34,Major Delay
Rural,Local Bus,18,1,Cloudy,2.12,74.16,71.66,20.61,16,12.46,Good,0.71,0,15.06,Major Delay
Rural,Local Bus,16,5,Clear,2.56,5.3,37.34,24.35,30,15.95,Good,4.36,0,12.63,Moderate Delay
Urban,Express Bus,11,0,Rain,6.75,55.9,50.93,9.59,21,6.6,Average,0.0,0,12.9,Moderate Delay
Urban,Local Bus,8,0,Rain,18.58,88.82,70.35,13.05,5,13.87,Good,0.0,0,15.88,Major Delay
Rural,Local Bus,16,5,Clear,1.52,60.13,42.04,3.0,19,19.14,Average,0.0,0,17.51,Major Delay
Urban,Feeder Bus,12,2,Clear,6.04,69.81,50.95,3.0,28,12.16,Poor,4.5,0,15.89,Major Delay
Rural,Local Bus,13,6,Clear,11.25,48.84,70.02,17.15,27,6.62,Good,7.68,0,8.91,Moderate Delay
Rural,Express Bus,21,0,Cloudy,10.76,50.44,64.2,8.88,19,3.66,Poor,9.93,0,10.95,Moderate Delay
Rural,Express Bus,5,3,Cloudy,1.03,80.26,58.42,3.0,28,18.44,Average,3.25,0,15.9,Major Delay
Urban,Feeder Bus,9,2,Rain,10.21,32.59,59.25,7.02,31,8.8,Average,0.09,0,16.06,Major Delay
Urban,Express Bus,21,6,Cloudy,0.63,30.34,54.5,16.06,6,9.8,Average,3.02,0,4.15,On Time / Minor
Urban,Feeder Bus,21,4,Clear,0.6,37.0,75.06,16.3,20,23.64,Average,8.36,0,22.06,Major Delay
Urban,Express Bus,10,5,Clear,3.76,48.54,99.8,4.18,31,15.61,Average,11.61,0,11.69,Moderate Delay
Rural,Local Bus,22,2,Clear,2.1,10.97,63.85,21.42,17,16.73,Good,9.39,0,9.87,Moderate Delay
Urban,Local Bus,8,6,Heavy Rain,13.65,64.81,83.64,9.83,34,19.21,Average,8.89,0,34.71,Major Delay
Urban,Local Bus,5,5,Rain,3.82,44.22,49.27,15.65,30,3.2,Good,10.31,0,17.21,Major Delay
Urban,Local Bus,10,5,Rain,8.88,67.63,44.37,14.23,10,18.67,Good,3.87,0,26.44,Major Delay
Rural,Local Bus,14,3,Rain,2.27,0.0,42.24,13.93,14,19.35,Average,4.91,0,16.46,Major Delay
Urban,Local Bus,5,6,Clear,8.66,67.72,39.63,8.38,16,8.77,Good,8.8,0,9.92,Moderate Delay
Urban,Local Bus,8,4,Rain,3.43,78.75,52.13,13.85,19,14.76,Good,6.07,0,22.09,Major Delay
Urban,Local Bus,19,0,Rain,3.42,58.09,75.72,15.62,25,15.84,Good,7.84,0,18.58,Major Delay
Urban,Local Bus,16,6,Clear,9.52,48.69,78.06,12.8,30,7.46,Poor,0.46,0,17.27,Major Delay
Urban,Express Bus,15,0,Clear,5.61,67.9,47.81,14.61,21,15.57,Average,10.49,0,10.78,Moderate Delay
Urban,Express Bus,22,4,Cloudy,1.43,77.24,51.52,20.61,5,7.82,Good,1.01,0,6.7,Moderate Delay
Urban,Feeder Bus,9,1,Rain,15.75,60.03,57.96,11.17,30,23.96,Average,9.06,0,25.25,Major Delay
Urban,Local Bus,21,6,Clear,2.88,61.75,62.68,17.92,15,11.81,Average,3.05,0,11.12,Moderate Delay
Urban,Feeder Bus,11,5,Rain,0.56,86.11,69.73,12.74,15,13.84,Good,0.83,0,9.3,Moderate Delay
Urban,Express Bus,21,5,Heavy Rain,3.63,65.51,50.02,22.55,29,2.86,Average,0.0,0,19.61,Major Delay
Urban,Local Bus,19,4,Heavy Rain,3.18,29.59,53.99,5.56,29,12.98,Good,2.41,0,21.01,Major Delay
Rural,Feeder Bus,8,3,Clear,5.41,77.13,85.09,21.82,31,17.1,Average,0.0,0,20.28,Major Delay
Urban,Local Bus,8,6,Clear,6.37,45.15,52.43,10.81,32,6.53,Average,0.0,0,13.43,Moderate Delay
Urban,Express Bus,14,2,Cloudy,0.35,48.77,46.51,26.67,9,8.39,Good,6.05,0,12.18,Moderate Delay
Urban,Express Bus,14,3,Clear,2.6,50.46,56.29,16.61,10,7.45,Average,0.0,0,12.05,Moderate Delay
Urban,Local Bus,9,2,Clear,5.65,70.28,59.56,19.1,18,5.23,Good,9.65,0,17.96,Major Delay
Urban,Express Bus,9,0,Rain,3.49,88.22,27.18,13.03,34,4.52,Average,16.1,0,15.98,Major Delay
Urban,Local Bus,21,6,Clear,1.89,48.56,49.13,18.08,15,16.15,Good,1.08,0,11.24,Moderate Delay
Rural,Local Bus,18,3,Clear,7.43,87.82,66.4,18.08,15,4.67,Average,9.52,0,20.69,Major Delay
Urban,Local Bus,8,0,Heavy Rain,7.38,51.79,98.09,13.15,34,2.08,Average,0.0,0,23.29,Major Delay
Urban,Local Bus,18,5,Clear,3.17,80.25,47.42,18.59,34,8.34,Good,5.5,0,9.54,Moderate Delay
Urban,Local Bus,7,6,Rain,0.02,52.56,73.3,3.0,21,11.25,Average,5.28,0,18.58,Major Delay
Urban,Express Bus,13,4,Clear,1.52,36.67,61.58,10.14,22,13.9,Good,18.88,0,10.54,Moderate Delay
Urban,Local Bus,5,2,Clear,11.26,92.21,81.2,14.13,16,6.56,Average,1.64,0,14.44,Moderate Delay
Rural,Local Bus,16,6,Clear,2.32,34.48,45.62,17.01,29,8.06,Average,5.81,1,10.48,Moderate Delay
Rural,Express Bus,8,5,Clear,15.18,32.94,80.06,19.83,31,13.7,Good,2.58,0,15.5,Major Delay
Urban,Local Bus,9,1,Clear,1.11,19.11,86.04,12.48,12,15.52,Good,1.64,0,15.78,Major Delay
Urban,Local Bus,8,2,Rain,0.66,77.15,86.89,11.66,26,17.22,Good,2.81,0,17.94,Major Delay
Urban,Express Bus,8,6,Rain,13.56,82.58,86.55,19.23,20,13.4,Average,2.56,0,18.12,Major Delay
Urban,Feeder Bus,6,6,Clear,0.49,56.58,61.82,20.91,26,2.71,Average,0.33,1,11.93,Moderate Delay
Rural,Local Bus,14,4,Clear,2.2,25.37,69.7,18.44,17,6.62,Good,4.84,0,12.29,Moderate Delay
Urban,Local Bus,20,0,Cloudy,2.64,47.84,49.61,13.08,23,17.27,Good,0.0,0,11.22,Moderate Delay
Urban,Express Bus,10,1,Clear,1.06,41.04,13.54,29.29,24,19.85,Poor,1.5,0,10.38,Moderate Delay
Rural,Feeder Bus,19,2,Clear,8.26,24.3,63.12,14.48,17,10.56,Good,13.11,0,14.1,Moderate Delay
Urban,Local Bus,14,3,Clear,2.87,36.76,54.78,15.3,11,10.12,Good,2.92,0,7.94,Moderate Delay
Urban,Local Bus,9,6,Clear,0.35,59.63,77.26,23.8,7,6.0,Average,7.93,0,21.84,Major Delay
Rural,Local Bus,6,5,Cloudy,0.82,34.08,75.24,23.17,34,18.1,Good,3.12,0,11.09,Moderate Delay
Urban,Express Bus,19,1,Clear,1.45,54.71,36.76,18.25,24,5.71,Poor,7.34,0,18.44,Major Delay
Urban,Feeder Bus,5,0,Rain,3.78,7.14,100.0,8.59,18,20.81,Good,2.63,0,18.65,Major Delay
Urban,Express Bus,12,1,Clear,0.52,86.62,65.76,14.68,17,10.59,Average,0.0,0,7.64,Moderate Delay
Rural,Local Bus,5,1,Clear,18.17,39.0,32.32,17.1,17,6.7,Good,3.35,0,9.23,Moderate Delay
Urban,Express Bus,18,6,Cloudy,1.71,68.02,35.12,25.71,18,2.08,Good,0.0,0,6.91,Moderate Delay
Urban,Feeder Bus,22,0,Clear,10.01,52.34,14.44,31.7,18,9.65,Good,2.0,0,11.83,Moderate Delay
Urban,Local Bus,10,5,Rain,2.06,57.26,73.27,10.41,32,10.37,Poor,6.94,0,24.45,Major Delay
Urban,Feeder Bus,10,4,Cloudy,1.01,21.96,47.46,19.12,18,9.41,Average,12.58,0,18.27,Major Delay
Urban,Local Bus,15,0,Rain,8.82,30.51,41.19,9.11,26,11.03,Good,0.0,0,20.36,Major Delay
Urban,Local Bus,14,4,Clear,10.81,31.03,45.12,13.25,19,17.93,Poor,2.31,0,22.11,Major Delay
Urban,Express Bus,11,4,Clear,0.02,48.58,51.99,8.8,28,14.09,Good,3.59,0,7.46,Moderate Delay
Urban,Local Bus,11,0,Clear,4.33,78.5,69.51,24.02,5,11.97,Good,3.74,0,8.61,Moderate Delay
Rural,Feeder Bus,8,1,Cloudy,1.28,57.96,25.11,15.43,27,16.71,Good,3.78,0,8.92,Moderate Delay
Urban,Local Bus,9,2,Cloudy,4.08,27.29,36.6,15.76,11,6.42,Average,6.32,0,17.93,Major Delay
Rural,Local Bus,15,1,Clear,2.56,50.01,67.3,14.3,17,14.57,Good,1.31,0,14.35,Moderate Delay
Urban,Local Bus,18,4,Clear,5.42,46.15,46.12,16.26,23,14.47,Good,2.51,0,16.66,Major Delay
Urban,Local Bus,18,4,Clear,14.86,39.93,69.65,16.46,21,18.5,Poor,5.47,0,22.26,Major Delay
Rural,Local Bus,14,1,Clear,0.73,47.65,48.05,9.89,6,4.15,Average,0.01,0,8.75,Moderate Delay
Rural,Express Bus,18,0,Clear,2.44,65.57,89.5,3.87,21,6.67,Good,0.54,0,13.25,Moderate Delay
Urban,Local Bus,15,4,Cloudy,8.85,31.44,62.17,6.04,8,6.95,Average,3.17,0,14.57,Moderate Delay
Rural,Local Bus,11,3,Heavy Rain,0.8,40.04,82.53,4.34,12,13.39,Good,0.54,0,19.09,Major Delay
Urban,Express Bus,11,1,Clear,10.68,70.59,68.36,15.17,18,12.12,Average,0.0,0,10.43,Moderate Delay
Urban,Local Bus,14,1,Clear,3.93,58.79,69.57,9.1,23,13.84,Good,0.0,0,19.49,Major Delay
Rural,Express Bus,10,0,Clear,0.4,77.42,42.95,19.88,20,2.0,Average,3.28,0,7.73,Moderate Delay
Urban,Local Bus,18,5,Clear,0.23,81.02,81.35,15.44,16,18.36,Average,10.35,0,18.57,Major Delay
Rural,Local Bus,8,5,Cloudy,1.48,16.71,62.32,3.0,7,12.18,Good,5.46,0,17.75,Major Delay
Urban,Express Bus,5,3,Clear,1.82,54.63,38.92,11.54,6,13.76,Good,0.0,0,11.07,Moderate Delay
Rural,Express Bus,13,2,Heavy Rain,0.26,36.32,15.8,3.0,18,12.85,Good,11.24,0,11.54,Moderate Delay
Urban,Feeder Bus,6,1,Rain,5.64,20.43,60.8,7.13,34,7.86,Average,0.99,0,8.61,Moderate Delay
Urban,Local Bus,8,2,Clear,6.52,29.85,88.16,11.06,29,13.59,Average,11.44,0,16.2,Major Delay
Urban,Local Bus,11,6,Heavy Rain,6.19,41.08,39.86,8.33,17,11.38,Average,3.13,0,20.7,Major Delay
Urban,Express Bus,5,0,Cloudy,8.06,41.23,39.18,25.31,11,11.31,Poor,4.83,0,12.82,Moderate Delay
Urban,Express Bus,9,5,Heavy Rain,2.02,34.04,51.67,18.49,15,13.47,Average,1.67,0,18.49,Major Delay
Urban,Express Bus,14,2,Clear,4.86,47.69,80.02,12.03,19,10.49,Poor,2.01,0,16.99,Major Delay
Urban,Express Bus,11,1,Heavy Rain,7.99,100.0,21.26,22.56,23,4.2,Average,10.41,0,20.56,Major Delay
Urban,Express Bus,21,5,Clear,5.71,8.32,45.0,8.15,21,10.09,Good,2.6,0,11.54,Moderate Delay
Urban,Local Bus,6,6,Clear,4.41,74.16,37.88,12.01,18,19.13,Average,8.21,0,18.85,Major Delay
Rural,Express Bus,17,6,Heavy Rain,11.03,47.58,69.24,19.12,24,8.23,Good,3.74,0,11.34,Moderate Delay
Rural,Local Bus,15,1,Clear,2.27,37.93,55.15,7.31,34,11.47,Good,2.92,0,13.14,Moderate Delay
Rural,Local Bus,16,4,Clear,2.25,1.58,51.07,18.11,17,15.17,Good,6.62,0,9.03,Moderate Delay
Urban,Express Bus,17,2,Clear,3.93,65.54,54.4,15.76,6,21.6,Good,2.91,0,12.9,Moderate Delay
Rural,Local Bus,5,1,Clear,3.91,14.86,73.7,17.53,30,9.72,Average,0.0,0,11.58,Moderate Delay
Urban,Local Bus,19,2,Clear,3.75,67.04,80.43,24.78,29,4.86,Good,0.0,0,9.8,Moderate Delay
Urban,Feeder Bus,10,0,Clear,0.31,88.05,78.49,16.73,22,14.36,Good,6.4,0,18.67,Major Delay
Urban,Express Bus,16,1,Cloudy,8.99,18.5,69.51,14.76,5,6.94,Poor,0.0,0,14.06,Moderate Delay
Rural,Local Bus,10,4,Rain,4.84,74.87,85.68,5.02,31,12.48,Average,5.38,0,16.31,Major Delay
Urban,Feeder Bus,12,4,Clear,0.11,48.59,39.37,15.26,10,14.03,Good,0.0,0,15.22,Major Delay
Urban,Local Bus,17,1,Rain,10.94,0.0,65.75,11.12,33,8.6,Good,4.37,0,20.93,Major Delay
Rural,Express Bus,21,3,Cloudy,1.77,20.29,100.0,13.26,10,9.64,Good,10.19,0,7.58,Moderate Delay
Urban,Local Bus,20,5,Rain,3.63,52.1,21.27,11.16,5,15.1,Poor,0.0,0,14.49,Moderate Delay
Urban,Local Bus,18,6,Rain,0.89,57.23,47.32,16.95,15,16.46,Good,6.12,0,18.41,Major Delay
Rural,Local Bus,14,3,Rain,26.41,11.64,37.28,8.06,19,11.22,Poor,9.12,0,19.43,Major Delay
Urban,Local Bus,14,1,Clear,3.07,48.73,63.77,15.27,31,11.84,Good,0.62,0,15.67,Major Delay
Urban,Local Bus,22,4,Cloudy,1.88,66.94,86.76,7.75,6,5.38,Average,0.26,1,18.86,Major Delay
Rural,Local Bus,8,1,Rain,8.4,70.97,68.75,3.21,12,11.59,Good,5.38,0,20.72,Major Delay
Rural,Express Bus,22,0,Rain,0.68,38.5,53.65,11.95,24,9.04,Average,9.75,0,10.85,Moderate Delay
Urban,Local Bus,16,2,Clear,9.47,58.08,68.91,16.78,20,11.39,Good,14.91,0,15.93,Major Delay
Urban,Local Bus,16,2,Cloudy,2.74,72.67,52.21,9.34,30,18.09,Good,0.0,1,18.86,Major Delay
Urban,Feeder Bus,15,1,Rain,6.92,67.61,61.89,14.82,19,5.37,Poor,6.74,0,19.3,Major Delay
Urban,Express Bus,19,0,Clear,4.5,68.5,70.37,11.82,23,16.88,Average,1.1,0,17.74,Major Delay
Urban,Feeder Bus,17,6,Cloudy,2.53,50.61,93.06,7.79,12,11.97,Good,0.0,0,18.36,Major Delay
Urban,Local Bus,6,4,Rain,0.3,45.83,66.99,17.34,16,10.87,Average,2.33,0,13.63,Moderate Delay
Urban,Local Bus,19,5,Cloudy,3.89,54.26,62.35,10.09,18,6.66,Good,2.35,1,17.38,Major Delay
Rural,Express Bus,18,0,Clear,1.21,30.43,98.71,16.25,23,12.4,Poor,3.93,0,14.51,Moderate Delay
Urban,Express Bus,21,5,Cloudy,3.77,73.58,18.88,5.24,30,21.86,Good,5.59,0,11.55,Moderate Delay
Urban,Local Bus,21,2,Cloudy,7.7,12.8,56.16,14.82,14,2.0,Good,4.66,0,4.97,On Time / Minor
Urban,Feeder Bus,22,5,Clear,5.71,36.4,43.17,17.74,25,2.0,Good,9.58,0,13.04,Moderate Delay
Rural,Express Bus,5,3,Cloudy,2.25,47.17,53.23,16.11,11,10.12,Good,12.89,0,20.45,Major Delay
Urban,Express Bus,16,1,Clear,1.54,58.8,70.08,19.36,16,12.64,Poor,3.58,0,16.08,Major Delay
Urban,Local Bus,21,1,Rain,1.8,63.12,77.61,17.87,7,15.7,Good,1.04,0,23.56,Major Delay
Urban,Express Bus,22,0,Rain,4.16,82.25,47.59,15.8,13,13.26,Good,2.5,0,18.05,Major Delay
Urban,Local Bus,14,5,Rain,1.93,49.79,71.38,19.08,28,2.82,Average,2.35,1,17.32,Major Delay
Urban,Feeder Bus,21,3,Cloudy,1.18,31.49,40.05,11.76,20,14.08,Good,0.54,0,11.81,Moderate Delay
Rural,Local Bus,20,5,Clear,0.51,44.66,32.39,17.13,32,10.14,Good,0.0,0,15.03,Major Delay
Urban,Local Bus,5,5,Rain,2.12,40.65,59.42,14.13,11,15.43,Average,0.0,0,18.17,Major Delay
Rural,Local Bus,20,1,Clear,7.18,59.96,53.63,25.1,17,7.41,Good,6.92,0,11.09,Moderate Delay
Rural,Express Bus,16,2,Cloudy,7.52,23.46,87.81,15.64,9,3.34,Average,7.25,0,11.48,Moderate Delay
Urban,Feeder Bus,15,0,Clear,4.59,43.97,100.0,6.29,13,8.74,Average,5.13,0,20.83,Major Delay
Urban,Feeder Bus,8,0,Cloudy,0.06,85.32,45.83,15.52,6,13.46,Good,2.29,0,8.01,Moderate Delay
Urban,Express Bus,21,6,Cloudy,4.14,52.14,21.77,8.29,11,12.91,Average,0.97,0,13.52,Moderate Delay
Rural,Feeder Bus,10,4,Clear,12.1,23.78,30.66,18.37,5,11.08,Good,0.0,0,12.33,Moderate Delay
Urban,Express Bus,12,3,Clear,0.6,40.18,41.29,18.48,25,7.94,Average,0.24,1,6.28,Moderate Delay
Urban,Local Bus,10,1,Clear,2.01,0.0,62.15,10.35,34,10.34,Average,0.0,0,12.62,Moderate Delay
Urban,Express Bus,22,4,Clear,7.24,46.65,52.78,7.77,6,18.41,Average,0.0,0,9.51,Moderate Delay
Rural,Local Bus,13,3,Clear,0.09,85.9,32.83,14.8,15,23.76,Average,4.59,0,17.44,Major Delay
Urban,Local Bus,7,1,Rain,2.06,20.71,93.72,8.58,31,13.13,Average,0.0,0,20.22,Major Delay
Rural,Local Bus,5,0,Rain,14.49,14.51,71.26,8.97,6,16.13,Good,3.7,1,14.39,Moderate Delay
Urban,Local Bus,22,3,Heavy Rain,13.15,32.98,93.18,10.96,26,7.36,Poor,0.0,0,25.21,Major Delay
Rural,Feeder Bus,9,3,Clear,13.23,69.19,21.98,17.75,22,17.77,Good,6.44,0,15.12,Major Delay
Urban,Feeder Bus,18,5,Clear,2.1,87.21,83.45,5.1,29,9.25,Average,5.65,0,19.11,Major Delay
Urban,Local Bus,5,2,Clear,10.85,58.31,55.02,9.47,19,4.67,Average,0.93,0,19.8,Major Delay
Rural,Express Bus,21,0,Cloudy,4.31,18.42,50.16,28.39,7,16.76,Good,10.37,0,8.06,Moderate Delay
Rural,Local Bus,16,6,Rain,1.11,47.49,58.49,25.72,22,11.45,Good,3.1,0,16.68,Major Delay
Urban,Local Bus,9,2,Rain,1.61,89.16,44.01,21.26,34,17.97,Poor,4.18,0,20.66,Major Delay
Urban,Local Bus,21,5,Clear,5.27,40.85,55.14,14.26,21,15.13,Average,0.0,0,14.84,Moderate Delay
Rural,Local Bus,10,0,Cloudy,0.07,51.23,76.93,18.51,6,4.53,Average,0.0,0,11.65,Moderate Delay
Rural,Local Bus,22,0,Heavy Rain,2.85,53.53,18.74,11.69,8,11.92,Good,0.25,0,13.75,Moderate Delay
Urban,Local Bus,15,0,Clear,3.83,12.45,87.95,3.0,19,6.52,Average,7.41,1,23.0,Major Delay
Urban,Local Bus,13,5,Rain,6.28,70.95,65.85,10.58,27,17.32,Good,8.32,0,17.48,Major Delay
Rural,Local Bus,6,1,Rain,0.16,67.64,55.8,11.16,11,11.43,Average,0.65,0,13.75,Moderate Delay
Rural,Feeder Bus,9,5,Clear,2.89,2.15,76.71,14.17,16,7.71,Good,4.35,0,4.78,On Time / Minor
Rural,Local Bus,6,6,Heavy Rain,8.12,17.4,65.28,16.9,33,2.0,Average,7.78,0,17.73,Major Delay
Urban,Local Bus,20,4,Rain,17.81,25.7,48.4,23.91,34,16.83,Average,1.8,0,13.38,Moderate Delay
Urban,Local Bus,6,6,Rain,1.12,65.21,42.54,14.19,31,9.29,Good,0.0,0,20.03,Major Delay
Rural,Local Bus,7,6,Clear,10.79,30.72,87.99,7.98,22,9.69,Average,7.05,1,21.07,Major Delay
Rural,Local Bus,7,5,Clear,7.71,57.23,28.42,12.82,31,13.42,Good,5.62,0,17.54,Major Delay
Rural,Local Bus,22,5,Cloudy,12.37,43.82,54.06,17.86,19,6.58,Good,4.96,0,13.66,Moderate Delay
Urban,Express Bus,22,4,Clear,0.08,49.64,29.79,13.33,34,3.41,Good,8.3,0,7.42,Moderate Delay
Urban,Express Bus,17,1,Clear,6.66,59.41,67.76,9.18,15,11.97,Good,8.71,0,17.07,Major Delay
Rural,Express Bus,6,0,Clear,10.57,54.26,56.06,17.15,32,6.34,Good,6.61,0,10.5,Moderate Delay
Urban,Express Bus,14,2,Clear,3.33,47.56,33.01,7.14,21,10.62,Average,0.0,0,12.36,Moderate Delay
Rural,Local Bus,22,3,Rain,2.36,55.52,40.62,8.73,32,6.67,Average,0.0,0,6.61,Moderate Delay
Urban,Local Bus,6,2,Cloudy,3.88,52.99,58.89,16.5,19,4.2,Average,5.25,0,10.47,Moderate Delay
Rural,Local Bus,19,0,Clear,9.83,43.18,63.7,9.29,31,2.79,Poor,3.83,0,16.29,Major Delay
Rural,Local Bus,5,3,Cloudy,1.2,38.08,19.26,11.88,20,11.51,Poor,4.2,0,15.35,Major Delay
Urban,Local Bus,19,3,Clear,1.08,91.25,43.89,14.1,29,16.48,Good,11.95,1,15.93,Major Delay
Urban,Local Bus,14,6,Clear,0.02,37.82,61.21,13.75,34,15.89,Average,8.09,0,24.54,Major Delay
Urban,Express Bus,20,6,Clear,2.96,79.44,82.2,8.19,7,11.12,Poor,2.58,0,21.82,Major Delay
Urban,Local Bus,12,4,Clear,0.41,32.24,74.79,15.97,17,18.12,Good,0.0,0,16.59,Major Delay
Urban,Local Bus,19,5,Clear,3.03,66.63,48.9,8.49,5,8.32,Good,6.72,0,19.33,Major Delay
Urban,Express Bus,20,2,Cloudy,0.89,89.03,77.98,23.9,13,15.09,Poor,5.81,0,20.62,Major Delay
Rural,Local Bus,10,6,Clear,1.71,40.24,51.7,11.59,6,8.54,Average,2.42,0,8.7,Moderate Delay
Urban,Feeder Bus,16,6,Cloudy,2.09,32.65,10.0,17.65,17,7.37,Average,0.0,0,10.87,Moderate Delay
Urban,Feeder Bus,13,0,Clear,4.06,38.13,86.82,18.4,15,15.05,Poor,0.0,1,16.22,Major Delay
Urban,Feeder Bus,12,4,Rain,4.42,47.55,67.15,11.87,6,13.16,Good,7.74,0,14.24,Moderate Delay
Urban,Local Bus,19,3,Cloudy,2.55,55.4,61.76,8.2,16,14.15,Average,0.0,0,19.45,Major Delay
Urban,Local Bus,9,1,Clear,1.95,47.08,58.16,18.38,18,3.56,Average,6.4,0,13.56,Moderate Delay
Urban,Express Bus,7,2,Cloudy,1.68,38.34,64.05,5.46,5,16.15,Good,5.72,0,10.07,Moderate Delay
Rural,Express Bus,13,6,Rain,0.23,92.95,58.15,6.38,32,14.39,Good,0.0,0,18.64,Major Delay
Urban,Express Bus,19,6,Clear,9.84,43.39,52.22,17.64,14,8.99,Good,8.0,0,9.1,Moderate Delay
Rural,Local Bus,7,2,Cloudy,1.12,33.74,44.94,12.8,11,13.91,Average,3.1,0,12.45,Moderate Delay
Urban,Local Bus,11,3,Rain,3.46,67.1,59.54,9.76,6,16.48,Average,2.76,0,17.03,Major Delay
Urban,Local Bus,17,3,Clear,0.55,67.47,40.37,11.01,7,7.32,Poor,0.0,0,18.34,Major Delay
Rural,Local Bus,13,5,Rain,6.51,80.49,35.15,9.23,25,7.35,Good,9.99,1,22.35,Major Delay
Rural,Local Bus,15,3,Clear,3.57,92.34,63.4,27.09,5,9.56,Average,0.0,0,10.02,Moderate Delay
Urban,Feeder Bus,14,2,Rain,4.77,55.96,77.6,20.11,7,2.0,Good,0.0,0,7.07,Moderate Delay
Urban,Local Bus,19,6,Rain,0.52,41.37,42.08,9.05,24,12.65,Poor,4.21,0,25.86,Major Delay
Urban,Express Bus,20,2,Heavy Rain,5.02,4.25,45.56,12.12,15,15.55,Average,0.0,0,9.46,Moderate Delay
Urban,Feeder Bus,13,1,Cloudy,0.09,26.43,24.08,17.58,27,13.85,Average,13.84,0,15.5,Major Delay
Urban,Local Bus,12,2,Rain,1.44,52.8,31.68,8.15,25,13.4,Good,0.0,0,14.8,Moderate Delay
Urban,Local Bus,10,2,Clear,0.65,20.84,32.43,10.65,25,16.12,Good,7.47,0,14.94,Moderate Delay
Urban,Express Bus,12,3,Clear,3.51,11.54,77.49,12.21,7,10.5,Good,11.71,0,11.16,Moderate Delay
Urban,Local Bus,20,4,Rain,10.45,49.51,23.27,8.71,24,3.14,Average,7.08,0,18.0,Major Delay
Rural,Local Bus,14,0,Clear,5.88,65.87,67.18,20.58,32,11.65,Good,0.0,0,12.92,Moderate Delay
Urban,Feeder Bus,17,6,Rain,12.44,42.33,52.7,9.71,29,17.51,Average,5.22,0,21.29,Major Delay
Urban,Express Bus,12,1,Clear,3.67,68.63,70.11,13.3,33,12.81,Good,10.28,0,15.67,Major Delay
Urban,Feeder Bus,17,0,Clear,6.64,62.18,81.32,14.7,30,9.14,Average,0.0,0,7.24,Moderate Delay
Urban,Feeder Bus,17,4,Clear,8.69,74.43,57.4,23.52,32,14.92,Good,8.99,0,16.93,Major Delay
Urban,Local Bus,14,1,Cloudy,8.6,97.99,80.67,13.48,15,12.93,Good,5.96,0,19.85,Major Delay
Rural,Express Bus,21,5,Clear,0.47,100.0,89.0,26.82,12,9.92,Average,12.95,0,12.24,Moderate Delay
Rural,Express Bus,20,6,Clear,1.08,64.83,84.93,11.82,22,11.6,Good,5.64,0,15.38,Major Delay
Rural,Express Bus,7,4,Heavy Rain,7.8,37.42,44.56,12.68,10,9.41,Good,4.26,0,19.92,Major Delay
Rural,Express Bus,9,5,Rain,12.57,49.42,18.61,19.62,24,14.07,Average,6.92,0,15.75,Major Delay
Rural,Express Bus,22,3,Rain,0.98,84.18,55.5,25.52,34,6.5,Good,0.0,0,13.66,Moderate Delay
